version,caseid,mode,weight_full,registered,ideo,ideoHarris,ideoTrump,ideoDems,ideoReps,pid7,supportVoterID,supportFelonVote,supportTransSports,supportLGJob,supportBirthright,supportWall,attend,age,marital,educ,activeduty,union,race,children,havepassport,gender,transgender,sexualorientation,income,concernedhealthcare,polviolence,polviolchange,watchHannity,watchMaddow,watchSharkTank,watchNCIS,watchAndersonCooper,watch60Minutes,watchMeetThePress,watchPriceIsRight,watchGMA,watchToday,watchSNL,mobilProtest,mobilPetition,mobilDonate,mobilArgue,mobilContact,voted2024,votechoice24,howvoted24,howdifficultvote,harrisFT,trumpFT,DemHouseCandFT,RepHouseCandFT,walzFT,vanceFT,bidenFT,fundamentalistsFT,feministsFT,liberalsFT,unionsFT,bigbusinessFT,conservativesFT,scotusFT,gaylesbianFT,congressFT,muslimsFT,christiansFT,magaFT,jewsFT,policeFT,transFT,blmFT,nraFT,fbiFT,ruralFT,plannedParenthoodFT,houseIncumbent,importImmig,importCost,importClimate,importGuns,importAbortion,democImport,officialsDontCare,noSay,tooComplicated,understandPol,votesCountedFairly,affirmativeAction,vaccinesSchools,greenhouseGas,backgroundChecks,assaultRifles,rural,supportTransMilitary,intpol,preferDemoc,ctAuthority,usDemocracy,trustCongress,trustGovernment,trustJudiciary,trustScientists,trustParties,trustMedia,asianamericanFT,hispanicFT,blacksFT,illegalImmigrantFT,whitesFT,winner2020,state,harris24,trump24,female,dem,independent,gop,hispanic,white,black,aapi
ANES2024TimeSeries_20250808,140001,2,,1,6,1,6,1,1,7,1,7,1,1,6,1,1,50,1,4,2,2,3,0,1,1,2,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,1,1,0,85,0,,0,85,0,85,30,40,30,70,70,50,85,50,85,85,70,85,85,60,0,60,85,100,30,4,1,1,4,5,5,1,2,5,4,2,4,5,7,7,4,7,2,4,2,3,1,9,4,4,4,2,4,4,85,85,60,0,70,1,OK,0,1,0,0,0,1,1,0,0,0
ANES2024TimeSeries_20250808,140002,2,,1,4,2,6,1,7,4,3,4,3,1,4,4,2,41,1,3,3,2,4,0,2,2,2,1,5,3,1,2,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,0,,3,6,50,50,,,30,30,50,0,50,0,50,50,0,0,50,0,70,50,50,70,50,50,50,50,50,50,70,3,3,1,4,3,2,2,1,1,2,3,2,5,1,4,2,6,2,4,4,3,3,7,4,4,3,2,4,4,50,50,50,30,50,2,ID,,,1,0,1,0,0,0,0,1
ANES2024TimeSeries_20250808,140003,2,,1,2,2,7,3,7,1,2,1,7,1,7,7,2,44,1,3,3,2,1,1,2,2,2,1,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,1,1,1,85,0,,0,100,0,90,0,100,80,80,0,0,0,100,0,100,15,0,100,15,100,100,0,50,50,80,4,5,1,1,2,1,1,1,3,4,1,1,2,1,1,1,1,2,1,1,1,3,6,3,3,2,1,3,2,90,90,90,90,40,2,VA,1,0,1,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140004,2,,1,,5,6,4,4,6,2,2,7,1,6,2,1,45,1,3,3,2,4,1,1,1,2,1,3,5,3,4,0,0,0,0,0,0,0,0,1,1,0,2,2,2,2,2,0,,3,6,85,,,,50,50,70,50,60,50,70,70,70,85,40,70,40,50,50,40,85,50,30,70,85,70,85,1,2,1,2,1,3,2,2,3,4,3,2,4,1,2,1,2,3,4,3,4,2,5,2,2,1,2,2,2,50,60,50,30,50,2,CA,,,0,0,0,1,0,0,0,1
ANES2024TimeSeries_20250808,140005,2,,1,4,1,5,1,3,5,1,2,1,2,2,2,2,80,2,5,3,2,1,0,2,1,2,1,3,5,5,2,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,1,2,2,3,0,60,0,,0,20,0,0,0,0,50,0,0,30,0,10,0,10,0,0,70,0,0,60,0,90,0,3,1,1,1,2,1,2,1,1,2,2,4,4,7,7,1,7,3,7,3,2,2,2,4,4,3,2,4,4,50,50,50,0,50,1,CO,0,1,0,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140006,2,,1,4,4,6,4,7,3,3,4,4,1,4,6,2,75,3,3,3,2,1,0,2,2,2,1,3,1,1,3,0,1,0,0,0,0,1,0,0,0,0,2,1,2,1,2,0,,3,6,85,0,,,70,15,70,,60,60,60,60,40,15,70,70,50,85,0,70,85,70,60,30,85,70,85,2,3,2,1,1,2,1,1,1,3,3,2,4,1,1,1,1,1,4,1,1,1,7,3,3,2,1,4,2,50,,,40,85,2,TX,,,1,1,0,0,0,1,0,0
ANES2024TimeSeries_20250808,140007,2,,1,4,6,4,4,4,4,1,1,4,2,2,1,2,41,1,3,3,1,1,2,2,2,2,1,3,5,2,2,0,0,0,1,1,0,0,0,0,0,0,2,1,2,1,2,1,2,1,1,0,100,60,,0,100,0,50,50,60,70,50,50,70,60,70,50,60,85,50,70,50,50,85,60,100,100,4,1,1,1,1,1,1,1,1,3,3,4,5,4,1,1,7,4,7,2,1,1,10,3,3,3,2,3,2,50,50,50,,50,,WI,0,1,1,0,1,0,0,1,0,0
ANES2024TimeSeries_20250808,140008,2,,2,,4,4,4,4,6,,2,4,2,4,4,2,49,1,3,3,2,1,0,2,2,2,1,2,1,1,4,,,,,,,,,,,,2,2,2,2,2,0,,3,6,50,50,,,50,,50,50,50,,50,50,,50,50,50,50,100,,50,100,50,,50,100,50,100,2,1,1,3,1,1,1,3,2,1,5,3,6,1,1,1,1,1,4,4,1,3,5,2,4,4,2,4,2,0,0,0,0,100,1,MS,,,1,0,0,1,0,1,0,0
ANES2024TimeSeries_20250808,140010,2,,1,,1,1,7,7,3,,1,1,2,7,6,2,45,5,2,3,2,3,0,1,1,2,1,1,1,1,4,,,,,,,,,,,,2,2,2,1,2,0,,3,6,0,0,,,0,0,25,0,0,0,50,0,0,50,50,30,0,50,0,0,50,0,0,75,50,50,50,4,1,1,3,1,1,3,1,1,1,2,3,4,1,2,6,6,2,4,1,2,1,2,3,3,3,2,4,4,50,50,,50,50,2,CA,,,0,1,0,0,1,0,0,0
ANES2024TimeSeries_20250808,140011,2,,1,,4,7,5,4,1,2,2,6,1,2,6,1,41,1,2,3,2,3,2,1,2,2,1,4,5,1,6,,,,,,,,,,,,2,2,2,2,2,0,,3,6,,,,,,,,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,4,1,1,1,1,1,1,3,3,1,5,1,6,4,6,6,6,3,6,4,5,5,0,4,4,4,1,4,3,50,50,50,50,50,2,MD,,,1,1,0,0,1,0,0,0
