year,st,state,pollib_median,innovatescore_boehmkeskinner,incshare_top1,hvd_4yr,inst6013_adacope,inst6014_nom,citi6013,wpid,wideo,pid,ideo,npid,mood,democrat,republican,liberal,conservative
2000,AL,Alabama,-1.7985801,0.028871,16.005791,36.069599,66.25,83.073799,32.095699,0.13522901,-0.15997,0.091666996,-0.18539301,360,39.098999,37.293098,30.371607,14.734655,36.450478
2000,AK,Alaska,0.53647202,0.016509,11.645125,46.466099,42.0443,51.130501,21.7351,-0.041402001,-0.037048999,-0.041666999,0.022221999,48,31.612,25.237877,38.170258,14.792521,32.446377
2000,AZ,Arizona,-0.734905,0.098674998,18.322981,32.149899,11.6667,11.9499,40.230499,-0.063020997,-0.12679601,-0.084337004,-0.098159999,332,37.695999,30.90914,37.112766,16.889864,32.727264
2000,AR,Arkansas,-1.65476,0.082064003,16.080391,25.372,32.416698,48.121201,33.548,0.255891,-0.279257,0.23039199,-0.28217801,204,36.862999,36.09367,26.293209,15.207655,33.142185
2000,CA,California,2.49125,0.356455,28.910137,52.390999,85.028999,89.613297,51.1409,0.115276,0.005802,0.093682997,0,1868,36.293999,37.21666,31.274801,22.49976,26.485537
2000,CO,Colorado,-0.35692,0.093019001,21.169529,50.871101,11.9,7.9098601,42.855499,-0.122276,-0.061928,-0.067616001,-0.051282,281,33.439999,30.268909,30.147696,22.415581,29.23991
2000,CT,Connecticut,1.8076,0.097492002,32.715588,40.066002,52.099499,55.179798,59.866798,0.069571003,0.017031999,0.10917,0.044052999,229,39.823002,34.732704,26.089964,22.214993,28.119265
2000,DE,Delaware,0.51779997,0.117165,17.94334,34.849602,58,71.191597,44.245701,-0.046342,-0.036850002,-0.066666998,-0.053571001,60,53.181,66.986221,7.7758188,36.746853,17.352348
2000,FL,Florida,-0.54672599,0.080820002,25.440502,27.2414,7.53125,17.7281,41.8134,0.070055999,-0.048232,0.03348,-0.079963997,1135,36.956001,34.787727,32.180157,19.496849,32.538177
2000,GA,Georgia,-1.44112,0.104365,17.803558,24.812799,75.092598,77.2733,36.979099,0.160853,-0.167098,0.13908499,-0.14808001,568,33.209,35.989429,29.260586,14.171021,33.024555
2000,HI,Hawaii,1.6077501,0.10625,13.195955,44.839298,79.5,90.792099,64.033997,0.055582002,-0.089395002,0.039216001,-0.104167,51,33.730999,34.196659,17.963161,19.394833,21.435768
2000,ID,Idaho,-0.86114001,0.031303,17.527508,25.962299,3.75,11.8314,17.7824,-0.38154101,-0.34497499,-0.35416701,-0.36274499,96,29.112,22.047272,42.726826,13.098419,35.30164
2000,IL,Illinois,0.30740601,0.19716001,21.208324,29.028099,29.1134,34.959,54.389301,0.14265101,-0.019328,0.125635,-0.021330001,788,36.854,35.742439,25.982433,19.816753,31.49329
2000,IN,Indiana,-0.38394299,0.080669999,14.439241,30.8634,52.9491,56.360901,38.936001,-0.024558,-0.233548,-0.002165,-0.19172101,462,33.228001,31.10815,33.782913,17.051657,34.598858
2000,IA,Iowa,0.34962299,0.034519002,12.591952,44.778801,46.035,57.694199,38.673,0.013733,-0.076433003,0.014085,-0.113971,284,36.446999,32.360847,31.459658,16.418972,33.685955
2000,KS,Kansas,-0.69842201,0.068728998,14.801046,39.1483,0,15.457,19.3538,-0.251167,-0.26967001,-0.214912,-0.26666701,228,35.574001,26.397326,39.734226,14.275634,33.953548
2000,KY,Kentucky,-0.38599199,0.087311,14.810532,40.498001,27.3113,55.116699,15.3974,0.17527699,-0.154668,0.155488,-0.18867899,328,33.77,32.979721,36.848942,15.755994,35.013458
2000,LA,Louisiana,-0.97013599,0.069689997,15.737906,28.602699,28.8125,46.9067,24.2243,0.149323,-0.249861,0.124242,-0.20689701,330,35.120998,38.086899,28.189476,16.094351,32.325588
2000,ME,Maine,0.95506197,0.14202499,17.160845,51.0144,63.222801,72.256897,54.2617,-0.042608999,-0.052398998,-0.042856999,-0.014493,140,38.120998,26.570808,27.822489,19.685678,30.166925
2000,MD,Maryland,1.36033,0.070717998,17.931917,40.318199,90.5,87.406898,63.3573,0.218284,0.006013,0.25,0.061124999,424,38.629002,44.410332,28.580425,20.754206,28.655596
2000,MA,Massachusetts,1.81741,0.036582999,31.897251,17.07,62.564098,72.876801,76.706001,0.167293,-0.006445,0.179167,0.012903,480,40.860001,36.518501,16.656691,28.075979,22.360146
2000,MI,Michigan,0.50008303,0.073073,15.529071,51.952301,14.6924,21.8993,53.061501,0.056818999,-0.101335,0.077028997,-0.089041002,727,35.976002,32.027184,30.430378,17.888969,30.055481
