"","state","year","population"
"1","Alabama","2000",4452173
"2","Alaska","2000",627963
"3","Arizona","2000",5160586
"4","Arkansas","2000",2678588
"5","California","2000",33987977
"6","Colorado","2000",4326921
"7","Connecticut","2000",3411777
"8","Delaware","2000",786373
"9","Florida","2000",16047515
"10","Georgia","2000",8227303
"11","Hawaii","2000",1213519
"12","Idaho","2000",1299430
"13","Illinois","2000",12434161
"14","Indiana","2000",6091866
"15","Iowa","2000",2929067
"16","Kansas","2000",2693681
"17","Kentucky","2000",4049021
"18","Louisiana","2000",4471885
"19","Maine","2000",1277072
"20","Maryland","2000",5311034
"21","Massachusetts","2000",6361104
"22","Michigan","2000",9952450
"23","Minnesota","2000",4933692
"24","Mississippi","2000",2848353
"25","Missouri","2000",5607285
"26","Montana","2000",903773
"27","Nebraska","2000",1713820
"28","Nevada","2000",2018741
"29","New Hampshire","2000",1239882
"30","New Jersey","2000",8430621
"31","New Mexico","2000",1821204
"32","New York","2000",19001780
"33","North Carolina","2000",8081614
"34","North Dakota","2000",642023
"35","Ohio","2000",11363543
"36","Oklahoma","2000",3454365
"37","Oregon","2000",3429708
"38","Pennsylvania","2000",12284173
"39","Rhode Island","2000",1050268
"40","South Carolina","2000",4024223
"41","South Dakota","2000",755844
"42","Tennessee","2000",5703719
"43","Texas","2000",20944499
"44","Utah","2000",2244502
"45","Vermont","2000",609618
"46","Virginia","2000",7105817
"47","Washington","2000",5910512
"48","West Virginia","2000",1807021
"49","Wisconsin","2000",5373999
"50","Wyoming","2000",494300
"51","Alabama","2001",4467634
"52","Alaska","2001",633714
"53","Arizona","2001",5273477
"54","Arkansas","2001",2691571
"55","California","2001",34479458
"56","Colorado","2001",4425687
"57","Connecticut","2001",3432835
"58","Delaware","2001",795699
"59","Florida","2001",16356966
"60","Georgia","2001",8377038
"61","Hawaii","2001",1225948
"62","Idaho","2001",1319962
"63","Illinois","2001",12488445
"64","Indiana","2001",6127760
"65","Iowa","2001",2931997
"66","Kansas","2001",2702162
"67","Kentucky","2001",4068132
"68","Louisiana","2001",4477875
"69","Maine","2001",1285692
"70","Maryland","2001",5374691
"71","Massachusetts","2001",6397634
"72","Michigan","2001",9991120
"73","Minnesota","2001",4982796
"74","Mississippi","2001",2852994
"75","Missouri","2001",5641142
"76","Montana","2001",906961
"77","Nebraska","2001",1719836
"78","Nevada","2001",2098399
"79","New Hampshire","2001",1255517
"80","New Jersey","2001",8492671
"81","New Mexico","2001",1831690
"82","New York","2001",19082838
"83","North Carolina","2001",8210122
"84","North Dakota","2001",639062
"85","Ohio","2001",11387404
"86","Oklahoma","2001",3467100
"87","Oregon","2001",3467937
"88","Pennsylvania","2001",12298970
